event_id,user_id,timestamp,ip_address,latitude,longitude,location,user_agent,device_id,resource,action,success,mfa_used,failure_reason,privilege_level
966a8fa4-1f55-4783-aad1-bfdb7b7f984e,bob@corp.com,2026-03-28T08:02:20,10.0.124.126,40.727994,-74.018137,"New York, US",Mozilla/5.0,dev-bob-1,hr-portal,authorize,true,true,,user
ce8e6c43-b358-4baa-96e3-ec4899eb5351,alice@corp.com,2026-03-28T08:18:55,10.0.126.247,37.773398,-122.404696,"San Francisco, US",Mozilla/5.0,dev-alice-1,code-repo,authorize,true,true,,user
a5c5e5a0-dc65-4495-b5a1-71070b00ab64,alice@corp.com,2026-03-28T08:58:38,10.0.22.62,37.76503,-122.419241,"San Francisco, US",Mozilla/5.0,dev-alice-1,email,authorize,true,false,,user
de86771d-4060-403a-8ba3-563ecb855c4e,alice@corp.com,2026-03-28T09:04:58,10.0.145.42,37.7845,-122.435493,"San Francisco, US",Mozilla/5.0,dev-alice-1,vpn,access,true,false,,user
a5685251-694a-4050-bee4-d42a905866c4,carol@corp.com,2026-03-28T09:08:54,10.0.222.178,51.508822,-0.135003,"London, UK",Mozilla/5.0,dev-carol-1,vpn,authorize,true,false,,user
72b80515-34b4-4e7c-859c-0d1bd48f0a46,bob@corp.com,2026-03-28T09:27:11,10.0.240.110,40.719405,-73.99273,"New York, US",Mozilla/5.0,dev-bob-1,code-repo,login,true,true,,user
315fadfe-be30-45d2-9cd3-88e1c1a029e3,bob@corp.com,2026-03-28T09:32:10,10.0.13.154,40.702291,-74.003538,"New York, US",Mozilla/5.0,dev-bob-1,vpn,authorize,true,false,,user
747a0e5a-e30e-4ec7-8813-f9cf3a47e520,carol@corp.com,2026-03-28T09:34:27,10.0.203.172,51.519527,-0.123648,"London, UK",Mozilla/5.0,dev-carol-1,email,authorize,true,true,,user
a26b5b3f-281b-4220-a258-8c7616abeec2,alice@corp.com,2026-03-28T09:38:09,10.0.1.82,37.782359,-122.406091,"San Francisco, US",Mozilla/5.0,dev-alice-1,vpn,login,true,false,,user
6f2d165b-d724-4d0a-9901-92cdb64df2b4,carol@corp.com,2026-03-28T09:42:26,10.0.172.109,51.507836,-0.126348,"London, UK",Mozilla/5.0,dev-carol-1,email,login,true,true,,user
